"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"전국","2016. 05 월","589428","589428","0","239963","163674","163674","185791","185791",
"서울특별시","2016. 05 월","123743","135701","-11958","43795","46114","46114","33834","45792",
"종로구","2016. 05 월","1761","2099","-338","349","853","1114","559","636",
"중구","2016. 05 월","1526","1783","-257","338","773","949","415","496",
"용산구","2016. 05 월","2790","3108","-318","748","1182","1389","860","971",
"성동구","2016. 05 월","4204","3747","457","1025","2163","1517","1016","1205",
"광진구","2016. 05 월","4532","5154","-622","1605","1695","1831","1232","1718",
"동대문구","2016. 05 월","3896","4543","-647","1247","1553","1869","1096","1427",
"중랑구","2016. 05 월","5222","5368","-146","2359","1792","1429","1071","1580",
"성북구","2016. 05 월","4666","5485","-819","1614","1912","2226","1140","1645",
"강북구","2016. 05 월","3760","4227","-467","1467","1519","1601","774","1159",
"도봉구","2016. 05 월","4017","4078","-61","1482","1716","1328","819","1268",
"노원구","2016. 05 월","5687","6028","-341","2196","2053","1826","1438","2006",
"은평구","2016. 05 월","7179","7751","-572","3520","2190","1799","1469","2432",
"서대문구","2016. 05 월","5052","5218","-166","1825","2068","2009","1159","1384",
"마포구","2016. 05 월","5175","6001","-826","1681","2013","2542","1481","1778",
"양천구","2016. 05 월","5394","6030","-636","2164","2023","1979","1207","1887",
"강서구","2016. 05 월","7548","7539","9","2686","2618","2154","2244","2699",
"구로구","2016. 05 월","4634","4909","-275","1338","1678","1488","1618","2083",
"금천구","2016. 05 월","2848","3043","-195","1005","920","776","923","1262",
"영등포구","2016. 05 월","4838","5422","-584","1536","1776","2113","1526","1773",
"동작구","2016. 05 월","5292","5246","46","1348","2348","2123","1596","1775",
"관악구","2016. 05 월","7631","7969","-338","2481","2347","2704","2803","2784",
"서초구","2016. 05 월","4979","5536","-557","1292","2201","2396","1486","1848",
"강남구","2016. 05 월","7392","8718","-1326","2475","2598","3212","2319","3031",
"송파구","2016. 05 월","7781","8808","-1027","2951","2609","2205","2221","3652",
"강동구","2016. 05 월","5939","7891","-1952","3063","1514","1535","1362","3293",
"부산광역시","2016. 05 월","37470","39189","-1719","12539","15768","15768","9163","10882",
"중  구","2016. 05 월","581","571","10","148","288","271","145","152",
"서  구","2016. 05 월","1297","1544","-247","512","529","737","256","295",
"동  구","2016. 05 월","1000","1172","-172","364","400","560","236","248",
"영도구","2016. 05 월","977","1208","-231","489","249","443","239","276",
"부산진구","2016. 05 월","4356","4929","-573","1721","1600","1985","1035","1223",
"동래구","2016. 05 월","2800","3120","-320","856","1351","1454","593","810",
"남  구","2016. 05 월","2670","3045","-375","1024","999","1185","647","836",
"북  구","2016. 05 월","3063","3163","-100","1153","1127","860","783","1150",
"해운대구","2016. 05 월","4679","4687","-8","1721","1820","1635","1138","1331",
"사하구","2016. 05 월","3070","3425","-355","1283","1118","1339","669","803",
