관서명,주소
중부서,대한민국 서울특별시 중구 을지로동 수표로 27
종로서,대한민국 서울특별시 종로구 종로1.2.3.4가동 율곡로 46
남대문서,대한민국 서울특별시 중구 남대문로5가 한강대로 410
서대문서,대한민국 서울특별시 서대문구 미근동 통일로 113
혜화서,대한민국 서울특별시 종로구 종로1.2.3.4가동 창경궁로 112-16
용산서,대한민국 서울특별시 용산구 원효로1가 25
성북서,대한민국 서울특별시 성북구 삼선동5가 301
동대문서,대한민국 서울특별시 동대문구 청량리동 약령시로21길 29
마포서,대한민국 서울특별시 마포구 아현동 618-1
영등포서,대한민국 서울특별시 영등포구 당산동3가 2-11
성동서,대한민국 서울특별시 성동구 행당1동 왕십리광장로 9
동작서,대한민국 서울특별시 동작구 노량진동 72
광진서,대한민국 서울특별시 광진구 구의1동 자양로 167
서부서,대한민국 서울특별시 은평구 대조동 통일로 757
강북서,대한민국 서울특별시 강북구 번1동 415-15
금천서,대한민국 서울특별시 관악구 신림동 544
중랑서,대한민국 서울특별시 중랑구 신내1동 신내역로3길 40-10
강남서,대한민국 서울특별시 강남구 대치동 998
관악서,대한민국 서울특별시 관악구 봉천동
강서서,대한민국 서울특별시 양천구 신월동 화곡로 73
강동서,대한민국 서울특별시 강동구 성내1동 성내로 57
종암서,대한민국 서울특별시 성북구 종암동 종암로 135
구로서,대한민국 서울특별시 구로구 가마산로 235
서초서,대한민국 서울특별시 서초구 서초3동 반포대로 179
양천서,대한민국 서울특별시 양천구 신정6동 목동동로 99
송파서,대한민국 서울특별시 송파구 가락본동 9
노원서,대한민국 서울특별시 노원구 하계동 노원로 283
방배서,대한민국 서울특별시 서초구 방배2동 방배천로 54
은평서,대한민국 서울특별시 은평구 불광2동 연서로 365
도봉서,대한민국 서울특별시 도봉구 창4동 노해로 403
수서서,대한민국 서울특별시 강남구 개포동 개포로 617'
